fname	D-D	N-N	D-N-N-D	T-N-N-T	T-D-D-T	T-T	qid	dist
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_1563_6_cobinding.tsv	16.5	39.81	30.1	5.82	5.82	1.94	2	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_50_lex_300_rex_300_site_peak_106_1_cobinding.tsv	28.38	41.89	10.81	8.1	8.11	2.7	2	50
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_107_lex_300_rex_300_site_peak_2241_1_cobinding.tsv	57.89	0.0	12.28	1.75	24.56	3.51	2	107
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_85_lex_300_rex_300_site_peak_862_2_cobinding.tsv	0.0	73.62	7.36	17.18	0.61	1.23	2	85
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_76_lex_300_rex_300_site_peak_3122_2_cobinding.tsv	61.99	9.36	12.28	2.34	11.69	2.34	2	76
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_3122_3_cobinding.tsv	58.45	8.45	14.08	3.52	14.09	1.41	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_36_lex_300_rex_300_site_peak_3122_4_cobinding.tsv	58.08	12.57	5.39	4.79	17.37	1.8	2	36
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_73_lex_300_rex_300_site_peak_467_1_cobinding.tsv	29.82	23.68	22.81	3.51	17.55	2.63	2	73
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_56_lex_300_rex_300_site_peak_467_2_cobinding.tsv	36.8	28.8	15.2	4.8	12	2.4	2	56
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_56_lex_300_rex_300_site_peak_467_3_cobinding.tsv	41.35	24.81	21.81	1.5	9.02	1.5	2	56
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_75_lex_300_rex_300_site_peak_4724_5_cobinding.tsv	50.0	16.67	18.52	0.93	12.04	1.85	2	75
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_51_lex_300_rex_300_site_peak_1608_1_cobinding.tsv	74.44	5.11	9.26	0.96	9.59	0.64	2	51
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_59_lex_300_rex_300_site_peak_683_1_cobinding.tsv	25.3	22.89	12.05	12.04	21.68	6.02	2	59
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_93_lex_300_rex_300_site_peak_683_3_cobinding.tsv	20.78	14.29	19.48	12.99	29.87	2.6	2	93
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_65_lex_300_rex_300_site_peak_683_4_cobinding.tsv	39.24	18.99	21.52	2.53	15.19	2.53	2	65
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_60_lex_300_rex_300_site_peak_3985_2_cobinding.tsv	17.95	34.62	33.33	8.98	3.85	1.28	2	60
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_257_1_cobinding.tsv	55.06	2.25	14.61	6.74	19.1	2.25	2	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_109_lex_300_rex_300_site_peak_1233_5_cobinding.tsv	15.79	6.32	32.63	10.52	30.52	4.21	2	109
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_124_lex_300_rex_300_site_peak_1233_5_cobinding.tsv	15.79	5.26	30.26	13.16	31.58	3.95	2	124
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_64_lex_300_rex_300_site_peak_1233_7_cobinding.tsv	37.86	17.86	18.58	4.28	19.29	2.14	2	64
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_49_lex_300_rex_300_site_peak_1233_8_cobinding.tsv	40.38	19.87	14.74	3.85	19.23	1.92	2	49
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_1233_10_cobinding.tsv	15.92	31.85	28.66	6.37	15.29	1.91	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_59_lex_300_rex_300_site_peak_1233_11_cobinding.tsv	19.65	38.73	20.81	4.05	13.29	3.47	2	59
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_59_lex_300_rex_300_site_peak_3158_1_cobinding.tsv	74.44	3.33	6.66	0	13.33	2.22	2	59
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_31_lex_300_rex_300_site_peak_3158_2_cobinding.tsv	76.12	3.73	3.73	0	14.18	2.24	2	31
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_39_lex_300_rex_300_site_peak_4735_1_cobinding.tsv	18.39	47.13	19.54	5.75	6.9	2.3	2	39
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_78_lex_300_rex_300_site_peak_605_7_cobinding.tsv	37.39	13.91	36.52	2.61	7.83	1.74	2	78
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_3748_1_cobinding.tsv	42.17	30.12	8.43	3.61	13.25	2.41	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_1293_1_cobinding.tsv	44.9	13.27	29.6	1.02	9.18	2.04	2	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_112_lex_300_rex_300_site_peak_1293_2_cobinding.tsv	39.44	18.31	25.35	5.64	9.86	1.41	2	112
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_104_lex_300_rex_300_site_peak_3617_2_cobinding.tsv	59.52	0.79	11.11	0	26.19	2.38	2	104
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_166_lex_300_rex_300_site_peak_3617_2_cobinding.tsv	35.94	4.69	28.13	4.69	21.87	4.69	2	166
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_148_lex_300_rex_300_site_peak_3617_3_cobinding.tsv	24.68	2.6	24.68	7.79	33.77	6.49	2	148
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_95_lex_300_rex_300_site_peak_3617_6_cobinding.tsv	15.69	15.69	25.49	33.33	5.88	3.92	2	95
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_485_1_cobinding.tsv	11.61	56.25	23.21	4.47	3.58	0.89	2	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_92_lex_300_rex_300_site_peak_485_1_cobinding.tsv	10.78	33.33	43.13	8.82	2.94	0.98	2	92
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_45_lex_300_rex_300_site_peak_485_2_cobinding.tsv	20.0	39.23	23.84	8.47	6.92	1.54	2	45
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_91_lex_300_rex_300_site_peak_485_2_cobinding.tsv	18.37	41.84	26.53	10.2	2.04	1.02	2	91
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_117_lex_300_rex_300_site_peak_485_3_cobinding.tsv	16.28	30.23	43.02	4.65	4.65	1.16	2	117
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_127_lex_300_rex_300_site_peak_485_6_cobinding.tsv	8.33	25.0	50	9.72	5.56	1.39	2	127
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_49_lex_300_rex_300_site_peak_73_1_cobinding.tsv	30.47	37.5	8.59	5.46	14.85	3.12	2	49
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_86_lex_300_rex_300_site_peak_3058_3_cobinding.tsv	21.43	31.25	33.03	6.25	7.14	0.89	2	86
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_2836_2_cobinding.tsv	33.67	34.69	14.28	7.14	8.16	2.04	2	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_93_lex_300_rex_300_site_peak_3858_3_cobinding.tsv	50.0	6.38	17.02	10.64	13.83	2.13	2	93
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_49_lex_300_rex_300_site_peak_3858_5_cobinding.tsv	57.26	11.11	10.25	1.71	17.09	2.56	2	49
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_60_lex_300_rex_300_site_peak_2227_2_cobinding.tsv	32.41	28.7	18.06	9.26	9.26	2.31	2	60
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_69_lex_300_rex_300_site_peak_3807_1_cobinding.tsv	25.2	34.65	23.62	6.29	8.66	1.57	2	69
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_70_lex_300_rex_300_site_peak_1104_2_cobinding.tsv	42.72	5.83	1.94	1.94	45.63	1.94	2	70
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_80_lex_300_rex_300_site_peak_2026_1_cobinding.tsv	59.04	4.82	4.81	0	28.91	2.41	2	80
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_111_lex_300_rex_300_site_peak_2026_1_cobinding.tsv	66.13	0.0	16.12	1.61	14.51	1.61	2	111
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_2026_2_cobinding.tsv	68.04	1.03	9.27	3.09	15.46	3.09	2	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_42_lex_300_rex_300_site_peak_2026_3_cobinding.tsv	58.51	3.19	8.52	2.13	24.47	3.19	2	42
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_42_lex_300_rex_300_site_peak_135_6_cobinding.tsv	73.03	4.61	2.63	1.98	15.79	1.97	2	42
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_89_lex_300_rex_300_site_peak_2680_4_cobinding.tsv	26.83	37.8	20.74	3.66	9.76	1.22	2	89
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_51_lex_300_rex_300_site_peak_2888_2_cobinding.tsv	2.72	69.39	14.96	10.2	1.36	1.36	2	51
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_35_lex_300_rex_300_site_peak_554_3_cobinding.tsv	77.54	3.62	5.8	0.72	10.87	1.45	2	35
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_60_lex_300_rex_300_site_peak_554_7_cobinding.tsv	46.46	8.66	26.77	7.87	8.66	1.57	2	60
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_69_lex_300_rex_300_site_peak_554_8_cobinding.tsv	20.28	35.66	36.36	0	7	0.7	2	69
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_58_lex_300_rex_300_site_peak_554_9_cobinding.tsv	22.67	46.67	20	4	5.33	1.33	2	58
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_51_lex_300_rex_300_site_peak_3104_1_cobinding.tsv	6.6	62.26	17.92	8.49	3.78	0.94	2	51
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_48_lex_300_rex_300_site_peak_2819_6_cobinding.tsv	73.4	9.04	10.11	1.06	5.32	1.06	2	48
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_82_lex_300_rex_300_site_peak_2819_8_cobinding.tsv	71.63	2.13	15.61	0	9.93	0.71	2	82
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_163_lex_300_rex_300_site_peak_4541_3_cobinding.tsv	8.57	14.29	45.71	20	8.57	2.86	2	163
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_46_lex_300_rex_300_site_peak_4541_4_cobinding.tsv	26.57	6.99	33.57	6.99	20.28	5.59	2	46
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_136_lex_300_rex_300_site_peak_4541_4_cobinding.tsv	25.86	5.17	24.14	6.9	31.03	6.9	2	136
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_90_lex_300_rex_300_site_peak_4541_5_cobinding.tsv	50.0	1.35	8.11	4.05	31.08	5.41	2	90
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_41_lex_300_rex_300_site_peak_3423_3_cobinding.tsv	31.74	38.32	19.17	1.8	7.79	1.2	2	41
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_46_lex_300_rex_300_site_peak_3423_4_cobinding.tsv	21.14	44.57	20	2.85	9.71	1.71	2	46
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_138_lex_300_rex_300_site_peak_3423_4_cobinding.tsv	12.09	25.27	48.36	7.7	4.4	2.2	2	138
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_92_lex_300_rex_300_site_peak_3423_5_cobinding.tsv	12.0	46.4	30.4	6.4	3.2	1.6	2	92
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_45_lex_300_rex_300_site_peak_854_8_cobinding.tsv	59.52	1.19	9.52	0	27.38	2.38	2	45
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_63_lex_300_rex_300_site_peak_854_8_cobinding.tsv	58.44	1.3	7.79	0	29.87	2.6	2	63
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_854_10_cobinding.tsv	64.4	4.71	3.14	0.52	26.17	1.05	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_97_lex_300_rex_300_site_peak_854_10_cobinding.tsv	61.33	1.66	6.63	2.76	25.96	1.66	2	97
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_147_lex_300_rex_300_site_peak_854_10_cobinding.tsv	62.67	0.0	10	1.33	24	2.0	2	147
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_35_lex_300_rex_300_site_peak_854_11_cobinding.tsv	65.0	5.0	2.5	1	24.5	2.0	2	35
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_79_lex_300_rex_300_site_peak_854_11_cobinding.tsv	61.05	1.58	6.32	3.16	26.31	1.58	2	79
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_129_lex_300_rex_300_site_peak_854_11_cobinding.tsv	61.64	0.0	10.06	1.26	25.16	1.89	2	129
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_44_lex_300_rex_300_site_peak_854_12_cobinding.tsv	82.26	2.02	4.44	0.4	9.68	1.21	2	44
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_45_lex_300_rex_300_site_peak_5135_2_cobinding.tsv	46.03	6.35	11.9	7.15	26.19	2.38	2	45
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_31_lex_300_rex_300_site_peak_5135_3_cobinding.tsv	44.6	7.19	14.39	5.76	24.46	3.6	2	31
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_2297_2_cobinding.tsv	79.37	5.56	5.56	1.58	7.14	0.79	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_60_lex_300_rex_300_site_peak_1033_2_cobinding.tsv	0.0	59.55	23.59	13.48	1.12	2.25	2	60
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_139_lex_300_rex_300_site_peak_1253_2_cobinding.tsv	50.77	3.08	23.07	3.08	18.46	1.54	2	139
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_100_lex_300_rex_300_site_peak_312_4_cobinding.tsv	21.88	18.75	26.88	5.63	25.62	1.25	2	100
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_103_lex_300_rex_300_site_peak_312_6_cobinding.tsv	4.46	37.58	17.2	22.93	14.01	3.82	2	103
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_94_lex_300_rex_300_site_peak_1061_2_cobinding.tsv	32.18	14.94	34.48	5.75	11.5	1.15	2	94
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_30_lex_300_rex_300_site_peak_4648_3_cobinding.tsv	55.78	5.44	14.28	5.44	16.32	2.72	2	30
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_191_lex_300_rex_300_site_peak_4648_4_cobinding.tsv	42.47	10.96	27.4	6.85	10.96	1.37	2	191
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_51_lex_300_rex_300_site_peak_1894_2_cobinding.tsv	74.42	4.65	8.14	2.32	9.3	1.16	2	51
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_57_lex_300_rex_300_site_peak_1364_2_cobinding.tsv	48.41	18.25	8.73	2.38	19.84	2.38	2	57
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_43_lex_300_rex_300_site_peak_1049_3_cobinding.tsv	80.0	2.4	2.4	0	13.6	1.6	2	43
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_66_lex_300_rex_300_site_peak_1049_3_cobinding.tsv	73.64	0.91	6.36	0	16.36	2.73	2	66
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_84_lex_300_rex_300_site_peak_522_2_cobinding.tsv	11.67	42.5	35	5	5	0.83	2	84
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_37_lex_300_rex_300_site_peak_4312_4_cobinding.tsv	78.38	4.5	4.5	0.9	9.91	1.8	2	37
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_40_lex_300_rex_300_site_peak_3357_3_cobinding.tsv	26.76	43.66	15.5	7.98	4.7	1.41	2	40
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_843_7_cobinding.tsv	49.47	21.81	9.58	2.66	14.9	1.6	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_44_lex_300_rex_300_site_peak_1595_6_cobinding.tsv	16.33	54.08	18.87	6.12	3.57	1.02	2	44
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_70_lex_300_rex_300_site_peak_925_2_cobinding.tsv	20.34	3.39	10.16	5.08	55.93	5.08	2	70
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_45_lex_300_rex_300_site_peak_925_3_cobinding.tsv	58.73	3.17	11.11	3.17	20.63	3.17	2	45
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_58_lex_300_rex_300_site_peak_154_3_cobinding.tsv	75.18	2.84	4.97	0.71	14.18	2.13	2	58
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_69_lex_300_rex_300_site_peak_154_4_cobinding.tsv	22.5	9.17	45	8.33	12.5	2.5	2	69
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_69_lex_300_rex_300_site_peak_140_10_cobinding.tsv	5.75	59.77	18.39	8.05	6.9	1.15	2	69
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_35_lex_300_rex_300_site_peak_715_5_cobinding.tsv	38.14	26.27	13.56	1.69	18.64	1.69	2	35
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_37_lex_300_rex_300_site_peak_3663_1_cobinding.tsv	70.14	8.33	2.08	2.08	15.97	1.39	2	37
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_39_lex_300_rex_300_site_peak_373_3_cobinding.tsv	67.9	13.58	8.64	0.62	8.03	1.23	2	39
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_57_lex_300_rex_300_site_peak_373_6_cobinding.tsv	57.63	2.82	7.34	1.69	25.99	4.52	2	57
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_81_lex_300_rex_300_site_peak_373_6_cobinding.tsv	62.09	1.31	13.07	3.92	18.3	1.31	2	81
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_30_lex_300_rex_300_site_peak_373_7_cobinding.tsv	73.02	4.19	2.8	0.47	17.68	1.86	2	30
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_54_lex_300_rex_300_site_peak_373_7_cobinding.tsv	78.53	2.09	11	1.04	6.28	1.05	2	54
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_64_lex_300_rex_300_site_peak_373_9_cobinding.tsv	63.58	11.56	15.02	2.31	6.35	1.16	2	64
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_53_lex_300_rex_300_site_peak_1335_5_cobinding.tsv	21.01	14.49	30.44	7.25	23.91	2.9	2	53
annotated_cobinding_status/suppressed_merged_S2_to_all_open_and_closed_mnase_peaks_cluster_199_lf_15_rf_15_sec_peak_at_62_lex_300_rex_300_site_peak_5098_2_cobinding.tsv	50.4	16.0	7.2	2.4	21.6	2.4	2	62
